0 0:15:44, ,3.50,49.88,-498.80, ,11.40,31.04,-310.40, ,3.80,24.92,249.20
0 0:15:52, ,3.50,49.80,-498.00, ,11.41,31.04,-310.40, ,3.81,24.96,249.60
0 0:16:0, ,3.50,49.76,-497.60, ,11.41,31.00,-310.00, ,3.81,24.96,249.60
0 0:16:8, ,3.50,49.72,-497.20, ,11.41,31.00,-310.00, ,3.81,24.96,249.60
0 0:16:16, ,3.50,49.68,-496.80, ,11.41,30.96,-309.60, ,3.81,24.96,249.60
0 0:16:24, ,3.50,49.68,-496.80, ,11.40,30.96,-309.60, ,3.81,24.92,249.20
0 0:16:32, ,3.50,49.64,-496.40, ,11.40,30.96,-309.60, ,3.81,24.96,249.60
0 0:16:40, ,3.50,49.60,-496.00, ,11.40,30.92,-309.20, ,3.80,24.92,249.20
0 0:16:48, ,3.50,49.56,-495.60, ,11.40,30.92,-309.20, ,3.80,24.92,249.20
0 0:16:56, ,3.50,49.52,-495.20, ,11.40,30.92,-309.20, ,3.81,24.92,249.20
0 0:17:4, ,3.50,49.48,-494.80, ,11.41,30.88,-308.80, ,3.81,24.96,249.60
0 0:17:12, ,3.50,49.44,-494.40, ,11.40,30.88,-308.80, ,3.81,24.92,249.20
0 0:17:20, ,3.50,49.40,-494.00, ,11.41,30.88,-308.80, ,3.81,24.96,249.60
0 0:17:28, ,3.50,49.40,-494.00, ,11.41,30.84,-308.40, ,3.81,24.96,249.60
0 0:17:36, ,3.50,49.36,-493.60, ,11.41,30.84,-308.40, ,3.81,24.96,249.60
0 0:17:44, ,3.50,49.32,-493.20, ,11.40,30.80,-308.00, ,3.80,24.92,249.20
0 0:17:52, ,3.50,49.28,-492.80, ,11.41,30.80,-308.00, ,3.81,24.92,249.20
0 0:18:0, ,3.50,49.24,-492.40, ,11.40,30.80,-308.00, ,3.80,24.92,249.20
0 0:18:8, ,3.50,49.20,-492.00, ,11.40,30.76,-307.60, ,3.80,24.92,249.20
0 0:18:16, ,3.50,49.16,-491.60, ,11.41,30.76,-307.60, ,3.81,24.92,249.20
0 0:18:24, ,3.51,49.12,-491.20, ,11.41,30.76,-307.60, ,3.81,24.96,249.60
0 0:18:32, ,3.51,49.08,-490.80, ,11.41,30.72,-307.20, ,3.81,24.96,249.60
0 0:18:40, ,3.51,49.08,-490.80, ,11.41,30.72,-307.20, ,3.81,24.96,249.60
0 0:18:48, ,3.51,49.00,-490.00, ,11.41,30.68,-306.80, ,3.81,24.96,249.60
0 0:18:56, ,3.51,49.00,-490.00, ,11.41,30.68,-306.80, ,3.81,24.96,249.60
0 0:19:4, ,3.50,48.96,-489.60, ,11.40,30.68,-306.80, ,3.80,24.92,249.20
0 0:19:12, ,3.50,48.92,-489.20, ,11.40,30.64,-306.40, ,3.80,24.92,249.20
0 0:19:20, ,3.51,48.88,-488.80, ,11.41,30.64,-306.40, ,3.81,24.96,249.60
0 0:19:28, ,3.51,48.88,-488.80, ,11.41,30.64,-306.40, ,3.81,24.96,249.60
0 0:19:36, ,3.51,48.84,-488.40, ,11.41,30.64,-306.40, ,3.81,24.96,249.60
0 0:19:44, ,3.51,48.80,-488.00, ,11.41,30.60,-306.00, ,3.81,24.96,249.60
0 0:19:52, ,3.51,48.80,-488.00, ,11.41,30.60,-306.00, ,3.81,24.96,249.60
0 0:20:0, ,3.51,48.76,-487.60, ,11.41,30.60,-306.00, ,3.81,24.92,249.20
0 0:20:8, ,3.51,48.72,-487.20, ,11.41,30.60,-306.00, ,3.81,24.96,249.60
0 0:20:16, ,3.51,48.68,-486.80, ,11.41,30.56,-305.60, ,3.81,24.92,249.20
0 0:20:24, ,3.51,48.68,-486.80, ,11.41,30.56,-305.60, ,3.81,24.96,249.60
0 0:20:32, ,3.51,48.64,-486.40, ,11.41,30.56,-305.60, ,3.81,24.96,249.60
0 0:20:40, ,3.51,48.60,-486.00, ,11.41,30.56,-305.60, ,3.81,24.96,249.60
0 0:20:48, ,3.51,48.60,-486.00, ,11.41,30.56,-305.60, ,3.81,24.96,249.60
0 0:20:56, ,3.51,48.56,-485.60, ,11.41,30.52,-305.20, ,3.81,24.96,249.60
0 0:21:4, ,3.51,48.52,-485.20, ,11.41,30.52,-305.20, ,3.81,24.96,249.60
0 0:21:12, ,3.51,48.48,-484.80, ,11.41,30.52,-305.20, ,3.81,24.96,249.60
0 0:21:20, ,3.51,48.48,-484.80, ,11.41,30.48,-304.80, ,3.81,24.96,249.60
0 0:21:28, ,3.51,48.44,-484.40, ,11.41,30.48,-304.80, ,3.81,24.96,249.60
